team,year,league,,,Over 500,Champion,Playoffs,Playoff Win,Final 2,,,
MI1,1954,N,-1.365930477,1.225110691,0,0,0,0,0,,,
MIE,1954,N,-1.093500546,0.6847372,1,0,1,1,0,,,
NYK,1954,N,-1.455210621,0.465583207,1,0,1,0,0,,,
PH1,1954,N,-1.186377479,0.67415131,0,0,0,0,0,,,
ROC,1954,N,-1.493221289,0.423043021,0,0,1,0,0,,,
SYR,1954,N,-1.52349318,0.276820365,1,1,1,1,1,,,
BOS,1955,N,0.127672851,0.784359986,1,0,1,0,0,,,
FTW,1955,N,-0.935549111,0.992051603,1,0,1,1,1,,,
MIE,1955,N,-0.424816248,0.945749356,0,0,1,0,0,,,
NYK,1955,N,-0.248493837,1.49995249,0,0,0,0,0,,,
PH1,1955,N,-0.12531715,1.06570835,1,1,1,1,1,,,
ROC,1955,N,-0.639975334,0.407730881,0,0,0,0,0,,,
STL,1955,N,-0.472253245,0.92299991,0,0,1,1,0,,,
SYR,1955,N,-0.696094309,0.818521104,0,0,1,1,0,,,
BOS,1956,N,-0.377084023,0.407107264,1,1,1,1,1,,,
FTW,1956,N,-1.383311696,0.287398441,0,0,1,0,0,,,
MIE,1956,N,-0.353260182,1.384027676,0,0,1,1,0,,,
NYK,1956,N,-0.612787534,1.209993498,0,0,0,0,0,,,
PH1,1956,N,-0.863158348,0.77853573,1,0,1,0,0,,,
ROC,1956,N,-1.478674595,0.192050972,0,0,0,0,0,,,
STL,1956,N,-0.77872621,0.844583288,0,0,1,1,1,,,
SYR,1956,N,-0.814310353,0.801847511,1,0,1,1,0,,,
BOS,1957,N,-0.278593662,-0.217933876,1,0,1,1,1,,,
CIN,1957,N,-0.846285113,-0.397277347,0,0,1,0,0,,,
DET,1957,N,-0.309549671,0.741922859,0,0,1,1,0,,,
MIE,1957,N,0.257032537,1.461575236,0,0,0,0,0,,,
NYK,1957,N,0.461661821,1.271389091,0,0,0,0,0,,,
PH1,1957,N,-0.537014948,0.262831112,1,0,1,1,0,,,
STL,1957,N,0.263438716,1.178195264,1,1,1,1,1,,,
SYR,1957,N,-0.366384991,0.48402979,1,0,1,0,0,,,
BOS,1958,N,0.236957301,-0.413513063,1,1,1,1,1,,,
CIN,1958,N,-0.750729508,-0.356816059,0,0,0,0,0,,,
DET,1958,N,-0.422702842,0.386262672,0,0,1,0,0,,,
MIE,1958,N,-0.25031887,0.716095102,0,0,1,1,1,,,
NYK,1958,N,0.16298635,0.937889775,1,0,1,0,0,,,
PH1,1958,N,-0.80614755,-0.258296493,0,0,0,0,0,,,
STL,1958,N,0.041277043,0.724924581,1,0,1,0,0,,,
SYR,1958,N,0.125186712,0.395677134,0,0,1,1,0,,,
BOS,1959,N,1.269578756,-1.316450366,1,1,1,1,1,,,
CIN,1959,N,0.886742682,-0.049072702,0,0,0,0,0,,,
DET,1959,N,0.806862524,0.389093422,0,0,1,0,0,,,
MIE,1959,N,0.170869598,-0.021388277,0,0,1,1,0,,,
NYK,1959,N,0.897618853,-0.580897157,0,0,0,0,0,,,
