team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,total games,shots made/100,shots attempted/100,free throws made/100,free throws attempted/100,assists/100,fouls commited/100,points scored/100,points allowed/100,Playoffs,Playoff Win,Final 2
BOS,1962,N,3746,8779,2012,2777,1960,2090,9504,8928,58,22,0.725,Yes,Yes,80,4682.5,10973.75,2515,3471.25,2450,2612.5,11880,11160,Yes,Yes,Yes
CH2,1962,N,3371,7448,2053,2944,1773,2065,8795,9112,25,55,0.3125,No,No,80,4213.75,9310,2566.25,3680,2216.25,2581.25,10993.75,11390,No,No,No
CIN,1962,N,3672,7998,2183,2923,1931,2203,9527,9424,42,38,0.525,Yes,No,80,4590,9997.5,2728.75,3653.75,2413.75,2753.75,11908.75,11780,Yes,Yes,No
DET,1962,N,3534,8188,2044,2852,1731,2181,9112,9408,34,46,0.425,No,No,80,4417.5,10235,2555,3565,2163.75,2726.25,11390,11760,Yes,No,No
LAL,1962,N,3506,7948,2230,2931,1739,1775,9242,8992,53,27,0.6625,Yes,No,80,4382.5,9935,2787.5,3663.75,2173.75,2218.75,11552.5,11240,Yes,Yes,Yes
NYK,1962,N,3433,8007,1971,2778,1658,2144,8837,9416,21,59,0.2625,No,No,80,4291.25,10008.75,2463.75,3472.5,2072.5,2680,11046.25,11770,No,No,No
SFW,1962,N,3805,8449,1870,2797,1906,1882,9480,9648,31,49,0.3875,No,No,80,4756.25,10561.25,2337.5,3496.25,2382.5,2352.5,11850,12060,No,No,No
STL,1962,N,3355,7780,2056,2820,1902,2077,8766,8624,48,32,0.6,Yes,No,80,4193.75,9725,2570,3525,2377.5,2596.25,10957.5,10780,Yes,Yes,No
SYR,1962,N,3690,8290,2350,3005,1742,2277,9730,9424,48,32,0.6,Yes,No,80,4612.5,10362.5,2937.5,3756.25,2177.5,2846.25,12162.5,11780,Yes,No,No
BAL,1963,N,3456,7862,2036,2958,1423,2073,8948,9088,31,49,0.3875,No,No,80,4320,9827.5,2545,3697.5,1778.75,2591.25,11185,11360,No,No,No
BOS,1963,N,3619,8770,1804,2489,1760,2125,9042,8408,59,21,0.7375,Yes,Yes,80,4523.75,10962.5,2255,3111.25,2200,2656.25,11302.5,10510,Yes,Yes,Yes
CIN,1963,N,3516,7761,2146,2828,1916,2139,9178,8776,55,25,0.6875,Yes,No,80,4395,9701.25,2682.5,3535,2395,2673.75,11472.5,10970,Yes,Yes,No
DET,1963,N,3346,7943,1928,2685,1633,2235,8620,9240,23,57,0.2875,No,No,80,4182.5,9928.75,2410,3356.25,2041.25,2793.75,10775,11550,No,No,No
LAL,1963,N,3272,7438,2230,2910,1676,1997,8774,8696,42,38,0.525,Yes,No,80,4090,9297.5,2787.5,3637.5,2095,2496.25,10967.5,10870,Yes,No,No
NYK,1963,N,3512,7888,1952,2852,1563,2222,8976,9568,22,58,0.275,No,No,80,4390,9860,2440,3565,1953.75,2777.5,11220,11960,No,No,No
PHI,1963,N,3394,8116,2184,2851,1643,2251,8972,9320,34,46,0.425,No,No,80,4242.5,10145,2730,3563.75,2053.75,2813.75,11215,11650,Yes,No,No
SFW,1963,N,3407,7779,1800,2821,1899,1978,8614,8208,48,32,0.6,Yes,No,80,4258.75,9723.75,2250,3526.25,2373.75,2472.5,10767.5,10260,Yes,Yes,Yes
STL,1963,N,3341,7776,2115,2795,1901,2266,8797,8672,46,34,0.575,Yes,No,80,4176.25,9720,2643.75,3493.75,2376.25,2832.5,10996.25,10840,Yes,Yes,No
BAL,1964,N,3421,7734,2245,3144,1676,2119,9087,9264,37,43,0.4625,No,No,80,4276.25,9667.5,2806.25,3930,2095,2648.75,11358.75,11580,Yes,Yes,No
BOS,1964,N,3567,8609,1890,2587,1772,2065,9024,8360,62,18,0.775,Yes,Yes,80,4458.75,10761.25,2362.5,3233.75,2215,2581.25,11280,10450,Yes,Yes,Yes
CIN,1964,N,3482,7797,2170,2866,1843,1992,9134,8952,48,32,0.6,Yes,No,80,4352.5,9746.25,2712.5,3582.5,2303.75,2490,11417.5,11190,Yes,No,No
DET,1964,N,3467,8297,1747,2537,1609,2058,8681,8952,31,49,0.3875,No,No,80,4333.75,10371.25,2183.75,3171.25,2011.25,2572.5,10851.25,11190,No,No,No
LAL,1964,N,3336,7628,2276,2984,1601,1998,8948,8792,49,31,0.6125,Yes,No,80,4170,9535,2845,3730,2001.25,2497.5,11185,10990,Yes,Yes,Yes
NYK,1964,N,3339,7834,1915,2684,1550,2283,8593,8888,31,49,0.3875,No,No,80,4173.75,9792.5,2393.75,3355,1937.5,2853.75,10741.25,11110,No,No,No
PHI,1964,N,3391,8028,2221,3011,1692,2096,9003,9016,40,40,0.5,No,No,80,4238.75,10035,2776.25,3763.75,2115,2620,11253.75,11270,Yes,No,No
SFW,1964,N,3323,8245,1819,2844,1653,2002,8465,8960,17,63,0.2125,No,No,80,4153.75,10306.25,2273.75,3555,2066.25,2502.5,10581.25,11200,No,No,No
STL,1964,N,3269,7710,2168,2947,1691,2069,8706,8464,45,35,0.5625,Yes,No,80,4086.25,9637.5,2710,3683.75,2113.75,2586.25,10882.5,10580,Yes,No,No
BAL,1965,N,3599,8210,2267,3186,1890,2199,9465,9560,38,42,0.475,No,No,80,4498.75,10262.5,2833.75,3982.5,2362.5,2748.75,11831.25,11950,Yes,No,No
BOS,1965,N,3488,8367,2038,2758,1795,2012,9014,8624,54,26,0.675,Yes,Yes,80,4360,10458.75,2547.5,3447.5,2243.75,2515,11267.5,10780,Yes,Yes,Yes
CIN,1965,N,3610,8123,2204,2906,1818,2033,9424,9328,45,35,0.5625,Yes,No,80,4512.5,10153.75,2755,3632.5,2272.5,2541.25,11780,11660,Yes,No,No
DET,1965,N,3475,8502,1877,2734,1569,2016,8827,9376,22,58,0.275,No,No,80,4343.75,10627.5,2346.25,3417.5,1961.25,2520,11033.75,11720,No,No,No
