team,year,league,shots made,shots attempted,free throws made,free throws attempted,offensive rebounds,defensive rebounds,total rebounds,assists,fouls commited,steals,turnovers,blocks,total points,made shots allowed,shot attempts allowed,made free throws against,free throw attempts allowed,offensive rebounds allowed,defensive rebounds allowed,total rebounds allowed,assists allowed,fouls against,steals against,turnovers against,blocks against,3 pointers allowed,points allowed,pace,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
DEN,1975,A,4059,8036,2078,2667,0,0,4087,2442,1988,0,0,0,10237,4027,8683,1567,2061,0,0,4240,2133,2287,0,0,0,113,9734,0,60,24,0.714285714,Yes,No,Yes,Yes,Yes
DET,1975,N,3524,7598,1557,2049,1205,2545,3750,1751,2086,786,1619,332,8605,3492,7479,1707,2211,1218,2690,3908,2014,1914,724,1671,437,0,8691,107.69078,36,46,0.43902439,No,No,Yes,No,No
GSW,1975,N,3691,7982,1620,2158,1349,2912,4261,2041,2022,928,1613,416,9002,3437,7742,1583,2150,1288,2730,4018,2006,1946,743,1761,395,0,8457,110.94307,59,23,0.719512195,Yes,No,Yes,Yes,No
HOU,1975,N,3546,7304,1616,2046,1059,2644,3703,2213,2045,656,1665,359,8708,3603,7551,1568,2072,1116,2473,3589,2028,2050,684,1522,311,0,8774,106.84779,40,42,0.487804878,No,No,No,No,No
IND,1975,A,3735,8525,1740,2253,0,0,4352,2087,1981,0,0,0,9460,3869,8132,1679,2156,0,0,4604,2139,2060,0,0,0,63,9480,0,39,45,0.464285714,No,No,No,No,No
KCK,1975,N,3341,7379,1792,2335,1133,2668,3801,1864,2056,751,1607,324,8474,3477,7454,1753,2310,1153,2778,3931,1825,2124,680,1639,321,0,8707,107.80199,31,51,0.378048781,No,No,No,No,No
KEN,1975,A,3756,8000,1703,2313,0,0,4362,2068,2257,0,0,0,9326,3581,8022,2004,2581,0,0,4168,1901,2132,0,0,0,87,9253,0,46,38,0.547619048,Yes,No,Yes,No,No
LAL,1975,N,3547,7622,1670,2164,1132,2870,4002,1939,2025,674,1612,528,8764,3592,7980,1573,2148,1384,2837,4221,2032,1987,775,1564,363,0,8757,109.75099,40,42,0.487804878,No,No,No,No,No
MIL,1975,N,3456,7435,1437,1952,1094,2688,3782,1817,2041,715,1624,468,8349,3402,7624,1664,2182,1229,2604,3833,1897,1828,683,1503,325,0,8468,106.86617,38,44,0.463414634,No,No,No,No,No
NOJ,1975,N,3352,7491,1831,2415,1189,2779,3968,1765,2175,750,1659,343,8535,3396,7413,1816,2464,1182,2846,4028,1684,2162,777,1748,405,0,8608,109.31269,38,44,0.463414634,No,No,No,No,No
NYK,1975,N,3443,7555,1532,1985,1022,2723,3745,1660,2006,575,1403,259,8418,3407,7426,1705,2274,1068,2891,3959,1812,1954,608,1453,335,0,8519,106.4975,38,44,0.463414634,No,No,No,No,No
NYN,1975,A,3752,8148,1775,2333,0,0,4243,1817,2209,0,0,0,9390,3552,7837,1930,2515,0,0,4287,1986,2032,0,0,0,108,9142,0,55,29,0.654761905,Yes,Yes,Yes,Yes,Yes
PHI,1975,N,3462,7752,1811,2469,1385,2684,4069,1658,2187,809,1729,367,8735,3467,7737,1780,2334,1435,2717,4152,1849,2151,730,1794,342,0,8714,110.63363,46,36,0.56097561,Yes,No,No,No,No
PHO,1975,N,3420,7251,1780,2337,1108,2558,3666,2083,2018,853,1852,349,8620,3444,7357,1682,2265,1143,2513,3656,1979,2163,912,1746,336,0,8570,108.66673,42,40,0.512195122,Yes,No,Yes,Yes,Yes
POR,1975,N,3417,7292,1699,2350,1116,2843,3959,2094,2091,776,1867,408,8533,3405,7531,1825,2333,1121,2657,3778,1920,2128,917,1613,386,0,8635,109.55299,37,45,0.451219512,No,No,No,No,No
SAS,1975,A,3888,7945,1905,2342,0,0,4232,2146,2032,0,0,0,9707,3760,8111,1720,2254,0,0,3935,2036,2141,0,0,0,122,9362,0,50,34,0.595238095,Yes,No,Yes,No,No
SDS,1975,A,432,1020,217,278,0,0,550,215,253,0,0,0,1087,446,997,234,305,0,0,536,255,273,0,0,0,12,1138,0,3,8,0.272727273,No,No,No,No,No
