team,year,league,free throws made,assists,total points,made shots allowed,shot attempts allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
LAL,1984,N,1702,2575,9696,3665,7639,1,1,1,1,1
MIL,1984,N,1873,2164,9090,3214,6972,1,0,1,1,0
NJN,1984,N,1631,2163,8975,3514,7040,1,0,1,0,0
NYK,1984,N,1706,1999,8627,3329,6732,0,0,0,0,0
PHI,1984,N,2316,1999,9261,3494,7157,1,0,1,1,0
PHO,1984,N,1757,2335,8858,3605,7309,0,0,1,0,0
POR,1984,N,2002,2225,9469,3697,7494,1,0,1,1,0
SAS,1984,N,1961,2316,9412,3644,7348,0,0,1,0,0
SEA,1984,N,1777,2185,8376,3520,7142,0,0,0,0,0
UTA,1984,N,1878,2143,8937,3532,7604,0,0,1,1,0
WA1,1984,N,1478,2088,8655,3494,7179,0,0,1,0,0
ATL,1985,N,1979,2025,8906,3360,7074,1,0,1,1,0
BOS,1985,N,1785,2387,9359,3444,7476,1,1,1,1,1
CHI,1985,N,1922,2006,8962,3601,7138,0,0,1,0,0
CLE,1985,N,1748,2064,8836,3435,7239,0,0,0,0,0
DAL,1985,N,2050,2108,9453,3864,7689,1,0,1,1,0
DEN,1985,N,1929,2140,9410,3638,7404,1,0,1,1,0
DET,1985,N,1800,2319,9363,3620,7365,1,0,1,0,0
GSW,1985,N,1912,2018,9299,3863,7432,0,0,0,0,0
HOU,1985,N,1776,2318,9379,3638,7402,1,0,1,1,1
IND,1985,N,1614,2159,8519,3372,7123,0,0,0,0,0
LAC,1985,N,2067,1968,8907,3849,7588,0,0,0,0,0
LAL,1985,N,1812,2433,9618,3577,7450,1,0,1,1,0
MIL,1985,N,2063,2158,9390,3286,7043,1,0,1,1,0
NJN,1985,N,1810,2128,8949,3504,7124,0,0,1,0,0
NYK,1985,N,1534,1877,8094,3192,6672,0,0,0,0,0
PHI,1985,N,2130,2017,9051,3615,7328,1,0,1,1,0
PHO,1985,N,1949,2272,9023,3569,7307,0,0,0,0,0
POR,1985,N,2142,2180,9436,3637,7249,0,0,1,0,0
SAC,1985,N,1818,2304,8924,3566,7225,0,0,1,0,0
SAS,1985,N,1882,2260,9120,3629,7365,0,0,1,0,0
SEA,1985,N,1815,1977,8564,3301,6774,0,0,0,0,0
UTA,1985,N,1930,2199,8871,3470,7339,1,0,1,0,0
