team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
NOB,1967,A,3207,7521,2245,3000,1355,1839,8712,8334,48,30,0.615384615,1,0,1,1,1
NYK,1967,N,3682,8070,2159,3042,1967,2364,9523,9373,43,39,0.524390244,1,0,1,0,0
OAK,1967,A,3215,7680,2109,2850,1149,1957,8642,9160,22,56,0.282051282,0,0,0,0,0
PHI,1967,N,3965,8414,2121,3338,2197,1851,10051,9348,62,20,0.756097561,1,0,1,1,0
PTP,1967,A,3230,7528,2028,2839,1239,1846,8731,8479,54,24,0.692307692,1,1,1,1,1
SDR,1967,N,3466,8547,2083,2929,1837,2188,9015,9922,15,67,0.182926829,0,0,0,0,0
SEA,1967,N,3772,8593,2188,3042,1998,2372,9732,10258,23,59,0.280487805,0,0,0,0,0
SFW,1967,N,3632,8587,2334,3153,1901,2265,9598,9643,43,39,0.524390244,1,0,1,1,0
STL,1967,N,3504,7765,2258,3111,1988,2046,9266,9045,56,26,0.682926829,1,0,1,0,0
ATL,1968,N,3605,7844,1913,2785,2069,2082,9123,8971,48,34,0.585365854,1,0,1,1,0
BAL,1968,N,3770,8567,2002,2734,1682,2037,9542,9192,57,25,0.695121951,1,0,1,0,0
BOS,1968,N,3583,8316,1936,2657,1953,2073,9102,8643,48,34,0.585365854,1,1,1,1,1
CHI,1968,N,3355,8021,1877,2577,1597,2064,8587,8766,33,49,0.402439024,0,0,0,0,0
CIN,1968,N,3565,7742,2262,3012,1983,2031,9392,9479,41,41,0.5,0,0,0,0,0
DEN,1968,A,3427,7554,2026,2769,1239,2102,8959,8842,44,34,0.564102564,1,0,1,0,0
DET,1968,N,3609,7997,2141,3025,1757,2105,9359,9619,32,50,0.390243902,0,0,0,0,0
DLC,1968,A,3185,7155,2192,2948,1320,2180,8657,8710,41,37,0.525641026,1,0,1,0,0
HMV,1968,A,3179,7732,2196,2991,1371,2157,8683,9127,23,55,0.294871795,0,0,0,0,0
IND,1968,A,3474,7709,2273,3180,1553,2106,9331,9010,44,34,0.564102564,1,0,1,1,1
KEN,1968,A,3180,7613,1977,2690,1453,2077,8672,8659,42,36,0.538461539,1,0,1,0,0
LAL,1968,N,3574,7620,2056,3161,2068,1773,9204,8864,55,27,0.670731707,1,0,1,1,1
LAS,1968,A,3208,7419,2291,3243,1244,2276,8925,9163,33,45,0.423076923,0,0,0,0,0
MFL,1968,A,3406,7625,2167,3023,1532,2092,9008,8975,43,35,0.551282051,1,0,1,1,0
MIL,1968,N,3537,8258,1966,2638,1882,2187,9040,9463,27,55,0.329268293,0,0,0,0,0
MNP,1968,A,3320,7985,1991,2868,1331,1988,8914,8904,36,42,0.461538462,0,0,1,0,0
NOB,1968,A,3386,7697,2148,2845,1617,1917,9053,8787,46,32,0.58974359,1,0,1,1,0
NYK,1968,N,3588,7813,1911,2596,2071,2175,9087,8626,54,28,0.658536585,1,0,1,1,0
NYN,1968,A,3148,7563,2090,2816,1409,2260,8463,9143,17,61,0.217948718,0,0,0,0,0
OAK,1968,A,3615,7663,2607,3434,1668,2126,9866,9211,60,18,0.769230769,1,1,1,1,1
PHI,1968,N,3754,8274,2238,3087,1914,2145,9746,9332,55,27,0.670731707,1,0,1,0,0
PHO,1968,N,3541,8242,2080,2950,1918,2086,9162,9881,16,66,0.195121951,0,0,0,0,0
SDR,1968,N,3691,8631,2074,3039,1925,2110,9456,9471,37,45,0.451219512,0,0,1,0,0
SEA,1968,N,3543,8149,2105,2979,1927,2281,9191,9586,30,52,0.365853659,0,0,0,0,0
SFW,1968,N,3414,8218,2119,2949,1822,2087,8947,9077,41,41,0.5,0,0,1,0,0
ATL,1969,N,3817,7907,2012,2669,2142,2016,9646,9610,48,34,0.585365854,1,0,1,1,0
BAL,1969,N,3925,8567,2050,2652,1881,1896,9900,9725,50,32,0.609756098,1,0,1,0,0
BOS,1969,N,3645,8235,2132,2711,1875,2320,9422,9578,34,48,0.414634146,0,0,0,0,0
CAR,1969,A,3470,7859,1942,2662,1746,2243,8971,8990,42,42,0.5,0,0,1,0,0
CHI,1969,N,3607,8133,2209,2861,2133,1863,9423,9569,39,43,0.475609756,0,0,1,0,0
CIN,1969,N,3767,8271,2082,2841,1992,2215,9616,9856,36,46,0.43902439,0,0,0,0,0
DEN,1969,A,3743,8381,2023,2713,1621,2064,9697,9328,51,33,0.607142857,1,0,1,1,0
DET,1969,N,3565,7657,2116,2881,1709,1930,9246,9520,31,51,0.378048781,0,0,0,0,0
DLC,1969,A,3775,8265,2340,2968,1633,2138,10079,9918,45,39,0.535714286,1,0,1,0,0
IND,1969,A,3593,7896,2110,2846,1826,2125,9511,9220,59,25,0.702380952,1,1,1,1,1
KEN,1969,A,3593,8378,2020,2733,1765,2409,9536,9450,45,39,0.535714286,1,0,1,1,0
LAL,1969,N,3668,7952,1991,2641,2030,1896,9327,9168,46,36,0.56097561,1,0,1,1,1
LAS,1969,A,3575,8120,2266,3022,1772,2234,9547,9567,43,41,0.511904762,1,0,1,1,1
MFL,1969,A,3598,8345,2225,2991,1281,2264,9511,9940,23,61,0.273809524,0,0,0,0,0
MIL,1969,N,3923,8041,1895,2589,2168,1971,9741,9364,56,26,0.682926829,1,0,1,1,0
NOB,1969,A,3463,7982,1970,2531,1638,2091,9064,8999,42,42,0.5,0,0,0,0,0
NYK,1969,N,3803,7975,1821,2484,2135,2016,9427,8684,60,22,0.731707317,1,1,1,1,1
NYN,1969,A,3543,7854,1990,2826,1762,2381,9148,9219,39,45,0.464285714,0,0,1,0,0
PHI,1969,N,3915,8345,2168,2884,2127,2196,9998,9717,42,40,0.512195122,1,0,1,0,0
PHO,1969,N,3676,7856,2434,3270,2076,2183,9786,9930,39,43,0.475609756,0,0,1,0,0
PTC,1969,A,3721,8370,1875,2673,1629,2184,9445,9824,29,55,0.345238095,0,0,0,0,0
SDR,1969,N,3866,8867,2000,2728,2036,2096,9732,9988,27,55,0.329268293,0,0,0,0,0
SEA,1969,N,3709,8029,2171,2851,2214,2175,9589,9799,36,46,0.43902439,0,0,0,0,0
SFW,1969,N,3555,8224,2004,2646,1861,2050,9114,9479,30,52,0.365853659,0,0,0,0,0
WAC,1969,A,3709,7988,2403,3177,1961,2329,9929,9983,44,40,0.523809524,1,0,1,0,0
ATL,1970,N,3614,7779,2120,2975,1906,1958,9348,9495,36,46,0.43902439,0,0,1,0,0
BAL,1970,N,3684,8331,1886,2500,1772,1966,9254,9206,42,40,0.512195122,1,0,1,1,1
BOS,1970,N,3804,8616,2000,2648,2052,2138,9608,9438,44,38,0.536585366,1,0,0,0,0
BUF,1970,N,3424,7860,1805,2504,1962,2232,8653,9196,22,60,0.268292683,0,0,0,0,0
CAR,1970,A,3823,8329,1851,2809,1745,2172,9688,10026,34,50,0.404761905,0,0,0,0,0
CHI,1970,N,3460,7660,2150,2721,2142,1797,9070,8640,51,31,0.62195122,1,0,1,0,0
CIN,1970,N,3805,8374,1901,2622,2022,2126,9511,9774,33,49,0.402439024,0,0,0,0,0
CLE,1970,N,3299,7778,1775,2380,2065,2114,8373,9289,15,67,0.182926829,0,0,0,0,0
DEN,1970,A,3852,8780,2158,2841,1642,1996,9965,10306,30,54,0.357142857,0,0,0,0,0
DET,1970,N,3468,7730,2093,2808,1696,1969,9029,9090,45,37,0.548780488,1,0,0,0,0
FLA,1970,A,3659,8026,2179,2852,1939,2140,9579,9707,37,47,0.440476191,0,0,1,0,0
IND,1970,A,3796,8202,2104,2741,2068,1953,10002,9501,58,26,0.690476191,1,0,1,1,0
KEN,1970,A,3929,8520,2213,2930,1878,2271,10264,10260,44,40,0.523809524,1,0,1,1,1
LAL,1970,N,3739,7857,1933,2717,2205,1709,9411,9159,48,34,0.585365854,1,0,1,1,0
MIL,1970,N,3972,7803,1766,2379,2249,1847,9710,8705,66,16,0.804878049,1,1,1,1,1
MMP,1970,A,3700,8383,1664,2287,1893,2164,9175,9234,41,43,0.488095238,0,0,1,0,0
NYK,1970,N,3633,8076,1760,2377,1779,1916,9026,8614,52,30,0.634146342,1,0,1,1,0
NYN,1970,A,3638,7704,2013,2653,1877,2203,9327,9378,40,44,0.476190476,0,0,1,0,0
PHI,1970,N,3608,8026,2199,2967,1976,2168,9415,9288,47,35,0.573170732,1,0,1,0,0
PHO,1970,N,3503,8021,2327,3078,1927,2132,9333,9177,48,34,0.585365854,1,0,0,0,0
POR,1970,N,3721,8562,2025,2671,2227,2024,9467,9837,29,53,0.353658537,0,0,0,0,0
PTC,1970,A,3906,8661,2012,2659,1619,2208,10001,10229,36,48,0.428571429,0,0,0,0,0
SDR,1970,N,3547,8426,2188,2921,1921,2128,9282,9302,40,42,0.487804878,0,0,0,0,0
SEA,1970,N,3664,8034,2101,2790,2049,1917,9429,9591,38,44,0.463414634,0,0,0,0,0
SFW,1970,N,3454,7709,1875,2468,1893,1833,8783,8901,41,41,0.5,0,0,1,0,0
TEX,1970,A,3964,8938,2038,2661,1901,2093,10207,10458,30,54,0.357142857,0,0,1,0,0
UTS,1970,A,3787,8409,2219,2831,1789,2050,9994,9400,57,27,0.678571429,1,1,1,1,1
VIR,1970,A,4014,8497,2273,2975,2231,2371,10355,10058,55,29,0.654761905,1,0,1,1,0
ATL,1971,N,3482,7570,2018,2725,1897,1967,8982,9127,36,46,0.43902439,0,0,1,0,0
BAL,1971,N,3490,7748,1804,2378,1816,1858,8784,8880,38,44,0.463414634,0,0,1,0,0
BOS,1971,N,3819,8431,1839,2367,2230,2030,9477,9085,56,26,0.682926829,1,0,1,1,0
BUF,1971,N,3409,7560,1549,2219,1759,2110,8367,9125,22,60,0.268292683,0,0,0,0,0
CAR,1971,A,3818,8391,1870,2536,1735,2173,9646,9923,35,49,0.416666667,0,0,0,0,0
CHI,1971,N,3539,7853,2039,2700,2087,1964,9117,8440,57,25,0.695121951,1,0,1,0,0
CIN,1971,N,3444,7496,1948,2578,2020,2079,8836,9167,30,52,0.365853659,0,0,0,0,0
CLE,1971,N,3458,8074,1758,2390,2060,1936,8674,9300,23,59,0.280487805,0,0,0,0,0
DEN,1971,A,3703,8247,1953,2601,1995,2334,9400,9500,34,50,0.404761905,0,0,1,0,0
DET,1971,N,3482,7665,1981,2653,1687,1954,8945,9506,26,56,0.317073171,0,0,0,0,0
DLC,1971,A,3362,7502,1943,2498,1486,2315,8770,8760,42,42,0.5,0,0,1,0,0
FLA,1971,A,3547,7797,2190,2817,1871,2125,9471,9603,36,48,0.428571429,0,0,1,0,0
GSW,1971,N,3477,7923,1917,2500,1854,1840,8871,8808,51,31,0.62195122,1,0,1,0,0
HOU,1971,N,3590,8277,1813,2424,1777,1992,8993,9121,34,48,0.414634146,0,0,0,0,0
IND,1971,A,3601,7805,2065,2756,1731,1908,9487,9266,47,37,0.55952381,1,1,1,1,1
KEN,1971,A,3803,7796,2003,2697,2136,1959,9743,8989,68,16,0.80952381,1,0,1,0,0
LAL,1971,N,3920,7998,2080,2833,2232,1636,9920,8913,69,13,0.841463415,1,1,1,1,1
MIL,1971,N,3813,7653,1774,2399,2160,1862,9400,8485,63,19,0.768292683,1,0,1,1,0
MMP,1971,A,3500,8408,1875,2525,1611,2169,9029,9489,26,58,0.30952381,0,0,0,0,0
NYK,1971,N,3521,7673,1743,2303,1985,1899,8785,8584,48,34,0.585365854,1,0,1,1,1
NYN,1971,A,3697,7698,1990,2589,1842,2065,9476,9445,44,40,0.523809524,1,0,1,1,1
PHI,1971,N,3577,8057,2049,2825,1920,2203,9203,9504,30,52,0.365853659,0,0,0,0,0
PHO,1971,N,3599,7877,2336,2999,1976,2026,9534,9083,49,33,0.597560976,1,0,0,0,0
